2066,2945,4019,-8,-14,-14,9374,2.02,-0.09,1.74,1.39,2066,2945,4023,99,178,139,90,98,0
2076,2955,4028,-2,-5,-7,9400,2.02,-0.09,1.74,1.39,2067,2946,4023,99,178,139,90,98,0
2082,2976,4046,4,6,3,9455,2.02,-0.09,1.74,1.39,2067,2947,4024,99,178,139,90,98,0
2088,2987,4055,11,19,13,9482,2.02,-0.09,1.74,1.39,2068,2948,4025,99,178,139,90,98,0
2095,2997,4065,17,31,24,9509,2.02,-0.09,1.74,1.39,2069,2950,4026,99,178,139,90,98,0
2100,3007,4075,22,42,34,9536,2.02,-0.09,1.74,1.39,2070,2951,4028,99,178,139,90,98,0
2105,3016,4079,27,51,41,9556,2.02,-0.09,1.74,1.39,2071,2954,4029,99,178,139,90,98,0
2117,3036,4097,33,61,50,9604,2.02,-0.09,1.74,1.39,2073,2956,4032,99,178,139,90,98,0
2122,3045,4106,39,71,58,9626,2.02,-0.09,1.74,1.39,2074,2959,4034,99,178,139,90,98,0
2127,3054,4113,44,79,65,9647,2.02,-0.09,1.74,1.39,2076,2963,4037,99,178,139,90,98,0
2129,3058,4114,48,87,72,9652,2.02,-0.09,1.74,1.39,2078,2966,4039,99,178,139,90,98,0
2116,3035,4092,46,84,68,9599,2.02,-0.09,1.74,1.39,2079,2968,4041,98,176,139,90,98,0
2067,2946,4020,31,57,45,9383,2.02,-0.09,1.72,1.37,2079,2967,4040,98,176,139,95,98,0
2049,2911,3993,11,21,15,9297,2.02,-0.09,1.72,1.37,2078,2965,4039,98,176,139,95,98,0
2033,2886,3973,-11,-21,-19,9235,2.02,-0.09,1.72,1.37,2076,2963,4037,98,176,139,95,98,0
2026,2868,3960,-33,-61,-51,9196,2.02,-0.09,1.72,1.37,2074,2960,4034,98,176,139,95,98,0
2017,2860,3955,-43,-79,-65,9169,2.02,-0.09,1.72,1.37,2072,2956,4031,98,176,139,95,98,0
2017,2857,3952,-50,-90,-72,9160,2.02,-0.09,1.72,1.37,2071,2953,4029,98,176,139,95,98,0
2025,2869,3961,-50,-91,-73,9196,2.02,-0.09,1.72,1.37,2069,2950,4027,98,176,139,95,98,0
2035,2887,3974,-46,-83,-67,9238,2.02,-0.09,1.72,1.37,2068,2948,4025,98,176,139,95,98,0
2043,2902,3986,-38,-70,-57,9274,2.02,-0.09,1.72,1.37,2067,2947,4023,98,176,139,95,98,0
2054,2923,3995,-28,-52,-45,9300,2.02,-0.09,1.72,1.37,2067,2946,4023,98,176,139,95,98,0
2057,2932,4009,-19,-35,-32,9342,2.02,-0.09,1.72,1.37,2066,2945,4022,98,176,139,95,98,0
2063,2941,4016,-12,-21,-21,9364,2.02,-0.09,1.72,1.37,2066,2945,4022,98,176,139,95,98,0
2070,2951,4026,-5,-8,-10,9390,2.02,-0.09,1.72,1.37,2066,2945,4022,98,176,139,95,98,0
2073,2962,4032,0,1,-1,9418,2.02,-0.09,1.72,1.37,2067,2946,4022,98,176,139,95,98,0
2085,2983,4052,6,13,9,9443,2.02,-0.09,1.72,1.37,2067,2947,4023,98,176,139,95,98,0
2090,2992,4060,12,25,19,9498,2.02,-0.09,1.72,1.37,2068,2949,4025,98,176,139,95,98,0
2096,3003,4071,18,37,29,9523,2.02,-0.09,1.72,1.37,2069,2950,4026,98,176,139,95,98,0
2102,3012,4078,24,48,39,9545,2.02,-0.09,1.72,1.37,2070,2952,4028,98,176,139,95,98,0
2106,3021,4082,29,55,45,9565,2.02,-0.09,1.72,1.37,2071,2955,4030,98,176,139,95,98,0
2117,3039,4101,34,65,54,9591,2.02,-0.09,1.72,1.37,2073,2958,4032,98,176,139,95,98,0
2122,3048,4108,39,73,61,9634,2.02,-0.09,1.72,1.37,2074,2961,4035,98,176,139,95,98,0
2123,3048,4107,43,79,66,9633,2.02,-0.09,1.72,1.37,2076,2963,4037,98,176,139,95,98,0
2108,3025,4084,42,78,64,9573,2.02,-0.09,1.72,1.37,2077,2966,4039,97,175,139,95,98,0
